city,province,region_std,city_job_count,small_sample_threshold,small_sample_penalty_weight,small_sample_penalty_flag,GDI_c,GDI_c_penalty_display,Exposure_c,Exposure_c_penalty_display,SRI_c,SRI_c_penalty_display,entropy_c,entropy_c_penalty_display,GDI_rank_raw,GDI_rank_penalty,Exposure_rank_raw,Exposure_rank_penalty,SRI_rank_raw,SRI_rank_penalty,entropy_rank_raw,entropy_rank_penalty
宁德,福建,东部,756,1000,0.8694826047713663,1,0.0026455026,0.0023002184915774217,8.2812040188,7.200362840909331,-0.5541498708,-0.4818236730969001,3.7619684631,3.2709661383639217,116.0,106.0,199.0,110.0,137.0,190.0,92.0,106.0
宁波,浙江,东部,31120,1000,1.0,0,0.0054305913,0.0054305913,8.5985258999,8.5985258999,-0.0678812311,-0.0678812311,3.9464120276,3.9464120276,61.0,47.0,103.0,45.0,41.0,56.0,25.0,25.0
安庆,安徽,中部,788,1000,0.8876936408468858,1,0.0012690355,0.001126514743358948,7.9367997222,7.04544664207227,-1.0506029029,-0.9326135159596082,3.6056740359,3.200733912635156,154.0,155.0,286.0,116.0,229.0,274.0,147.0,109.0
安康,陕西,西部,212,1000,0.4604345773288535,1,0.0,0.0,8.4092179924,3.871894731996884,-2.2171222098,-1.0208397275556766,3.1818518319,1.4650346033439148,165.0,165.0,160.0,224.0,310.0,286.0,255.0,229.0
安阳,河南,中部,384,1000,0.6196773353931867,1,0.0,0.0,7.9774821298,4.943464869341228,-3.3840334378,-2.097008823617349,3.2548498028,2.016956652904143,165.0,165.0,278.0,171.0,338.0,339.0,246.0,183.0
安顺,贵州,西部,172,1000,0.4147288270665544,1,0.0,0.0,7.7959087193,3.233188079073213,-1.9867180914,-0.8239492637582256,3.40164056,1.4107583995508173,165.0,165.0,312.0,253.0,299.0,255.0,207.0,237.0
定西,甘肃,西部,103,1000,0.3209361307176242,1,0.0097087379,0.0031158847757775526,8.5325955249,2.7384181927399216,-1.1014966124,-0.3535100607822267,3.0740915812,0.9865870575419513,25.0,83.0,121.0,277.0,239.0,158.0,283.0,287.0
宜宾,四川,西部,1280,1000,1.0,0,0.0,0.0,8.5503682166,8.5503682166,-0.3250894969,-0.3250894969,3.8845239709,3.8845239709,165.0,165.0,117.0,49.0,87.0,150.0,43.0,41.0
宜昌,湖北,中部,1553,1000,1.0,0,0.003219575,0.003219575,8.491967475,8.491967475,-0.54586655,-0.54586655,3.7981094813,3.7981094813,101.0,80.0,130.0,50.0,132.0,207.0,78.0,66.0
宜春,江西,中部,927,1000,0.9628083921528727,1,0.0021574973,0.0020772565064871643,8.1356363934,7.833058995069851,-1.0531826875,-1.0140131299951165,3.7884062123,3.6475092940865177,132.0,113.0,244.0,97.0,231.0,285.0,81.0,88.0
宝鸡,陕西,西部,563,1000,0.7503332592921628,1,0.0,0.0,8.0522121612,6.0418425954251855,-1.8724179883,-1.4049374919184137,3.4339215674,2.5765855618208944,165.0,165.0,268.0,135.0,293.0,310.0,197.0,135.0
宣城,安徽,中部,899,1000,0.9481561052906847,1,0.0033370412,0.0031640359873865527,7.8005456775,7.396135008720486,-0.7990825917,-0.7576550379518584,3.771649431,3.5761124350187874,97.0,81.0,309.0,106.0,183.0,248.0,86.0,94.0
宿州,安徽,中部,580,1000,0.7615773105863908,1,0.0,0.0,8.4399777292,6.42769554041317,-1.4921172504,-1.1363626426391922,3.5497940828,2.703442630714308,165.0,165.0,152.0,128.0,263.0,295.0,166.0,128.0
宿迁,江苏,东部,983,1000,0.991463564635635,1,0.002034588,0.0020172198710448875,8.0961636579,8.027051280135016,-0.8464040956,-0.8391788217457767,3.7916765416,3.7593091398800524,136.0,117.0,251.0,87.0,192.0,258.0,79.0,76.0
山南,西藏,西部,13,1000,0.11401754250991379,1,0.0,0.0,7.188674889,0.8196350447465073,-0.0796068115,-0.009076573014279945,2.5325911608,0.2887598203367459,165.0,165.0,340.0,336.0,45.0,40.0,326.0,331.0
岳阳,湖南,中部,827,1000,0.9093954035511725,1,0.0012091898,0.0010996316461409615,7.9118690874,7.195017381580171,-1.646926529,-1.4977074154590868,3.6895648056,3.3552732753168155,156.0,157.0,291.0,111.0,276.0,319.0,115.0,102.0
崇左,广西,西部,236,1000,0.48579831205964474,1,0.0042372881,0.002058467406690419,8.8573199836,4.30287109740504,-1.3716233101,-0.6663322888282427,3.6921386977,1.793634747232755,78.0,115.0,63.0,207.0,254.0,232.0,113.0,203.0
巴中,四川,西部,111,1000,0.3331666249791536,1,0.0,0.0,9.1993497279,3.064916300847338,-0.117542904,-0.039161372615928655,3.4514582681,1.1499107024392718,165.0,165.0,19.0,259.0,49.0,46.0,192.0,262.0
